List separator=,Decimal symbol=.
hoist_TP_array.time_array[186],0
hoist_TP_array.time_array[187],0
hoist_TP_array.time_array[188],0
hoist_TP_array.time_array[189],0
hoist_TP_array.time_array[190],0
hoist_TP_array.time_array[191],0
hoist_TP_array.time_array[192],0
hoist_TP_array.time_array[193],0
hoist_TP_array.time_array[194],0
hoist_TP_array.time_array[195],0
hoist_TP_array.time_array[196],0
hoist_TP_array.time_array[197],0
hoist_TP_array.time_array[198],0
hoist_TP_array.time_array[199],0
hoist_TP_array.time_array[200],0
hoist_TP_array.time_array[201],0
hoist_TP_array.time_array[202],0
hoist_TP_array.time_array[203],0
hoist_TP_array.time_array[204],0
hoist_TP_array.time_array[205],0
hoist_TP_array.time_array[206],0
hoist_TP_array.time_array[207],0
hoist_TP_array.time_array[208],0
hoist_TP_array.time_array[209],0
hoist_TP_array.time_array[210],0
hoist_TP_array.time_array[211],0
hoist_TP_array.time_array[212],0
hoist_TP_array.time_array[213],0
hoist_TP_array.time_array[214],0
hoist_TP_array.time_array[215],0
hoist_TP_array.time_array[216],0
hoist_TP_array.time_array[217],0
hoist_TP_array.time_array[218],0
hoist_TP_array.time_array[219],0
hoist_TP_array.time_array[220],0
hoist_TP_array.time_array[221],0
hoist_TP_array.time_array[222],0
hoist_TP_array.time_array[223],0
hoist_TP_array.time_array[224],0
hoist_TP_array.time_array[225],0
hoist_TP_array.time_array[226],0
hoist_TP_array.time_array[227],0
hoist_TP_array.time_array[228],0
hoist_TP_array.time_array[229],0
hoist_TP_array.time_array[230],0
hoist_TP_array.time_array[231],0
hoist_TP_array.time_array[232],0
hoist_TP_array.time_array[233],0
hoist_TP_array.time_array[234],0
hoist_TP_array.time_array[235],0
hoist_TP_array.time_array[236],0
hoist_TP_array.time_array[237],0
hoist_TP_array.time_array[238],0
hoist_TP_array.time_array[239],0
hoist_TP_array.time_array[240],0
hoist_TP_array.time_array[241],0
hoist_TP_array.time_array[242],0
hoist_TP_array.time_array[243],0
hoist_TP_array.time_array[244],0
hoist_TP_array.time_array[245],0
hoist_TP_array.time_array[246],0
hoist_TP_array.time_array[247],0
hoist_TP_array.time_array[248],0
hoist_TP_array.time_array[249],0
hoist_TP_array.time_array[250],0
hoist_TP_array.time_array[251],0
hoist_TP_array.time_array[252],0
hoist_TP_array.time_array[253],0
hoist_TP_array.time_array[254],0
hoist_TP_array.time_array[255],0
hoist_TP_array.time_array[256],0
hoist_TP_array.time_array[257],0
hoist_TP_array.time_array[258],0
hoist_TP_array.time_array[259],0
hoist_TP_array.time_array[260],0
hoist_TP_array.time_array[261],0
hoist_TP_array.time_array[262],0
hoist_TP_array.time_array[263],0
hoist_TP_array.time_array[264],0
hoist_TP_array.time_array[265],0
hoist_TP_array.time_array[266],0
hoist_TP_array.time_array[267],0
hoist_TP_array.time_array[268],0
hoist_TP_array.time_array[269],0
hoist_TP_array.time_array[270],0
hoist_TP_array.time_array[271],0
hoist_TP_array.time_array[272],0
hoist_TP_array.time_array[273],0
hoist_TP_array.time_array[274],0
hoist_TP_array.time_array[275],0
hoist_TP_array.time_array[276],0
hoist_TP_array.time_array[277],0
hoist_TP_array.time_array[278],0
hoist_TP_array.time_array[279],0
hoist_TP_array.time_array[280],0
hoist_TP_array.time_array[281],0
hoist_TP_array.time_array[282],0
hoist_TP_array.time_array[283],0
hoist_TP_array.time_array[284],0
hoist_TP_array.time_array[285],0
hoist_TP_array.time_array[286],0
hoist_TP_array.time_array[287],0
hoist_TP_array.time_array[288],0
hoist_TP_array.time_array[289],0
hoist_TP_array.time_array[290],0
hoist_TP_array.time_array[291],0
hoist_TP_array.time_array[292],0
hoist_TP_array.time_array[293],0
hoist_TP_array.time_array[294],0
hoist_TP_array.time_array[295],0
hoist_TP_array.time_array[296],0
hoist_TP_array.time_array[297],0
hoist_TP_array.time_array[298],0
hoist_TP_array.time_array[299],0
hoist_TP_array.time_array[300],0
hoist_TP_array.time_array[301],0
hoist_TP_array.time_array[302],0
hoist_TP_array.time_array[303],0
hoist_TP_array.time_array[304],0
hoist_TP_array.time_array[305],0
hoist_TP_array.time_array[306],0
hoist_TP_array.time_array[307],0
hoist_TP_array.time_array[308],0
hoist_TP_array.time_array[309],0
hoist_TP_array.time_array[310],0
hoist_TP_array.time_array[311],0
hoist_TP_array.time_array[312],0
hoist_TP_array.time_array[313],0
hoist_TP_array.time_array[314],0
hoist_TP_array.time_array[315],0
hoist_TP_array.time_array[316],0
hoist_TP_array.time_array[317],0
hoist_TP_array.time_array[318],0
hoist_TP_array.time_array[319],0
hoist_TP_array.time_array[320],0
hoist_TP_array.time_array[321],0
hoist_TP_array.time_array[322],0
hoist_TP_array.time_array[323],0
hoist_TP_array.time_array[324],0
hoist_TP_array.time_array[325],0
hoist_TP_array.time_array[326],0
hoist_TP_array.time_array[327],0
hoist_TP_array.time_array[328],0
hoist_TP_array.time_array[329],0
hoist_TP_array.time_array[330],0
hoist_TP_array.time_array[331],0
hoist_TP_array.time_array[332],0
hoist_TP_array.time_array[333],0
hoist_TP_array.time_array[334],0
hoist_TP_array.time_array[335],0
hoist_TP_array.time_array[336],0
hoist_TP_array.time_array[337],0
hoist_TP_array.time_array[338],0
hoist_TP_array.time_array[339],0
hoist_TP_array.time_array[340],0
hoist_TP_array.time_array[341],0
hoist_TP_array.time_array[342],0
hoist_TP_array.time_array[343],0
hoist_TP_array.time_array[344],0
hoist_TP_array.time_array[345],0
hoist_TP_array.time_array[346],0
hoist_TP_array.time_array[347],0
hoist_TP_array.time_array[348],-100
hoist_TP_array.time_array[349],-100
hoist_TP_array.time_array[350],-100
hoist_TP_array.time_array[351],-100
hoist_TP_array.time_array[352],-100
hoist_TP_array.time_array[353],-100
hoist_TP_array.time_array[354],-100
hoist_TP_array.time_array[355],-100
hoist_TP_array.time_array[356],-100
hoist_TP_array.time_array[357],-100
hoist_TP_array.time_array[358],-100
hoist_TP_array.time_array[359],-100
hoist_TP_array.time_array[360],-100
hoist_TP_array.time_array[361],-100
hoist_TP_array.time_array[362],-100
hoist_TP_array.time_array[363],-100
hoist_TP_array.time_array[364],-100
hoist_TP_array.time_array[365],-100
hoist_TP_array.time_array[366],-100
hoist_TP_array.time_array[367],-100
hoist_TP_array.time_array[368],-100
hoist_TP_array.time_array[369],-100
hoist_TP_array.time_array[370],-100
hoist_TP_array.time_array[371],-100
hoist_TP_array.time_array[372],-100
hoist_TP_array.time_array[373],-100
hoist_TP_array.time_array[374],-100
hoist_TP_array.time_array[375],-100
hoist_TP_array.time_array[376],-100
hoist_TP_array.time_array[377],-100
hoist_TP_array.time_array[378],-100
hoist_TP_array.time_array[379],-100
hoist_TP_array.time_array[380],-100
hoist_TP_array.time_array[381],-100
hoist_TP_array.time_array[382],-100
hoist_TP_array.time_array[383],-100
hoist_TP_array.time_array[384],-100
hoist_TP_array.time_array[385],-100
hoist_TP_array.time_array[386],-100
hoist_TP_array.time_array[387],-100
hoist_TP_array.time_array[388],-100
hoist_TP_array.time_array[389],-100
hoist_TP_array.time_array[390],-100
hoist_TP_array.time_array[391],-100
hoist_TP_array.time_array[392],-100
hoist_TP_array.time_array[393],-100
hoist_TP_array.time_array[394],-100
hoist_TP_array.time_array[395],-100
hoist_TP_array.time_array[396],-100
hoist_TP_array.time_array[397],-100
hoist_TP_array.time_array[398],-100
hoist_TP_array.time_array[399],-100
hoist_TP_array.time_array[400],-100
hoist_TP_array.time_array[401],-100
hoist_TP_array.time_array[402],-100
hoist_TP_array.time_array[403],-100
hoist_TP_array.time_array[404],-100
hoist_TP_array.time_array[405],-100
hoist_TP_array.time_array[406],-100
hoist_TP_array.time_array[407],-100
hoist_TP_array.time_array[408],-100
hoist_TP_array.time_array[409],-100
hoist_TP_array.time_array[410],-100
hoist_TP_array.time_array[411],-100
hoist_TP_array.time_array[412],-100
hoist_TP_array.time_array[413],-100
hoist_TP_array.time_array[414],-100
hoist_TP_array.time_array[415],-100
hoist_TP_array.time_array[416],-100
hoist_TP_array.time_array[417],-100
hoist_TP_array.time_array[418],-100
hoist_TP_array.time_array[419],-100
hoist_TP_array.time_array[420],-100
hoist_TP_array.time_array[421],-100
hoist_TP_array.time_array[422],-100
hoist_TP_array.time_array[423],-100
hoist_TP_array.time_array[424],-100
hoist_TP_array.time_array[425],-100
hoist_TP_array.time_array[426],-100
hoist_TP_array.time_array[427],-100
hoist_TP_array.time_array[428],-100
hoist_TP_array.time_array[429],-100
hoist_TP_array.time_array[430],-100
hoist_TP_array.time_array[431],-100
hoist_TP_array.time_array[432],-100
hoist_TP_array.time_array[433],-100
hoist_TP_array.time_array[434],-100
hoist_TP_array.time_array[435],-100
hoist_TP_array.time_array[436],-100
hoist_TP_array.time_array[437],-100
hoist_TP_array.time_array[438],-100
hoist_TP_array.time_array[439],-100
hoist_TP_array.time_array[440],-100
hoist_TP_array.time_array[441],-100
hoist_TP_array.time_array[442],-100
hoist_TP_array.time_array[443],-100
hoist_TP_array.time_array[444],-100
hoist_TP_array.time_array[445],-100
hoist_TP_array.time_array[446],-100
hoist_TP_array.time_array[447],-100
